No.   No.Empleado     Nombre          Ap. PAT         Ap. MAT         Job             Genero     Estado     No.Celular Status    
0     300019          MIGUEL          HIDALGO         FLORES          InvCien         HOMBRE     DF         1016520    1         
1     300044          PAULA           ROSALES         HIDALGO         EspLog          MUJER      CL         1010870    1         
2     300046          ALEJANDRA       REYES           DURAN           TecSup          MUJER      SR         1005412    1         
3     300077          CARLOS          MORA            VALENCIA        Arquitect       HOMBRE     DF         1006753    1         
4     300086          JOSE            GOMEZ           MACIAS          IngElec         HOMBRE     YN         1017883    1         
5     300087          BEATRIZ         AGUILAR         VALENCIA        Abogado         MUJER      GR         1027023    1         
6     300092          SOFIA           ROMAN           ALVAREZ         EspSeg          MUJER      DF         1028675    1         
7     300112          MIGUEL          PACHECO         VEGA            AnlVent         HOMBRE     YN         1015089    1         
8     300122          RAUL            SERRANO         BARRIOS         GteProj         HOMBRE     TL         1029062    1         
9     300133          ROSA            LOPEZ           ESPINOZA        ProfPrim        MUJER      TC         1011987    1         
10    300142          ANA             CERVANTES       DELGADO         ChefEje         MUJER      MC         1007730    1         
11    300148          MARIO           URIBE           VARGAS          DevSoft         HOMBRE     MN         1007812    1         
12    300158          SOFIA           LEON            VALDES          Contado         MUJER      MC         1030988    1         
13    300171          MARIO           SERRANO         RAMOS           TrabSoc         HOMBRE     CS         1016729    1         
14    300178          MARIO           PARDO           CORDERO         AnMktDg         HOMBRE     QT         1010069    1         
15    300182          GLORIA          LEAL            PARDO           PsOrg           MUJER      NT         1007186    1         
16    300187          ARMANDO         CONTRERAS       GONZALES        AnlSist         HOMBRE     YN         1020450    1         
17    300197          CLARA           GUERRERO        ROJAS           DisUX           MUJER      PL         1029019    1         
18    300209          HECTOR          SILVA           DURAN           EspLog          HOMBRE     CL         1024691    1         
19    300224          ALEJANDRO       IGLESIAS        SUAREZ          PsOrg           HOMBRE     VZ         1025510    1         
20    300244          SALVADOR        RAMOS           CHACON          Traduct         HOMBRE     GR         1007814    1         
21    300245          GABRIELA        ORTIZ           ROMERO          EspRRHH         MUJER      QR         1015364    1         
22    300250          PILAR           HERRERA         ALVARADO        TrabSoc         MUJER      BC         1010009    1         
23    300271          PATRICIA        ESPINOZA        REYES           DisGraf         MUJER      CC         1006922    1         
24    300297          NATALIA         SANDOVAL        LEAL            EspRRHH         MUJER      DG         1018431    1         
25    300310          ROBERTO         SALAZAR         URIBE           EspRRHH         HOMBRE     MC         1029569    1         
26    300311          MARIO           CERVANTES       BAUTISTA        RepVInt         HOMBRE     MS         1010044    1         
27    300319          ROBERTO         OSORIO          ALVAREZ         Arquitect       HOMBRE     CL         1001038    1         
28    300323          MARiA           LEAL            MENENDEZ        ProfPrim        MUJER      JC         1030996    1         
29    300326          ARMANDO         TORRES          RIVERA          IngRed          HOMBRE     NT         1030595    1         
30    300347          JORGE           GOMEZ           SOTO            AsistAdm        HOMBRE     HG         1013896    1         
31    300349          EDUARDO         SOSA            ARIAS           ConsFin         HOMBRE     YN         1012779    1         
32    300377          MANUEL          GONZALES        GUERRERO        AnlVent         HOMBRE     GR         1007384    1         
33    300381          ALEJANDRO       LARA            MENDOZA         MedGen          HOMBRE     PL         1002919    1         
34    300389          GLORIA          ROMERO          REYES           ProfPrim        MUJER      BC         1011320    1         
35    300401          MIGUEL          HERRERA         MACIAS          IngCivil        HOMBRE     NE         1028305    1         
36    300410          ISRAEL          CASTILLO        MORA            InvCien         HOMBRE     DF         1023147    1         
37    300442          NATALIA         CHACON          PARDO           DisUX           MUJER      QR         1001938    1         
38    300445          ISRAEL          ESTRELLA        VARELA          DevSoft         HOMBRE     MN         1004349    1         
39    300454          GABRIELA        LEAL            MERCADO         IngElec         MUJER      NT         1021799    1         
40    300466          ADRIANA         SOTO            MEDINA          ChefEje         MUJER      NT         1014423    1         
41    300469          PILAR           OSORIO          DURAN           DevSoft         MUJER      MS         1008206    1         
42    300482          SALVADOR        CABRERA         MORENO          EspSeg          HOMBRE     NT         1020911    1         
43    300486          GLORIA          TOVAR           SERRANO         EspLog          MUJER      CS         1014949    1         
44    300491          ADRIANA         ESTRELLA        GUZMAN          ConsFin         MUJER      NL         1021133    1         
45    300498          EMILIO          GUZMAN          LOPEZ           GteProj         HOMBRE     BC         1031211    1         
46    300504          RAUL            DELGADO         OCHOA           GteProj         HOMBRE     DF         1016697    1         
47    300506          FERNANDO        VARELA          MERCADO         EspERen         HOMBRE     SP         1025921    1         
48    300510          JAVIER          ALVARADO        ORTIZ           PsOrg           HOMBRE     AG         1009913    1         
49    300511          ROSA            SALAZAR         CORDERO         DisUX           MUJER      HG         1009400    1         
50    300512          SILVIA          DIAZ            CERVANTES       EdCont          MUJER      CH         1012135    1         
51    300524          ARTURO          ESPINOZA        ESPINOZA        AsServ          HOMBRE     SP         1011939    1         
52    300540          SOFIA           SOLIS           GOMEZ           DisGraf         MUJER      AG         1025764    1         
53    300549          PILAR           BELTRAN         ESCOBAR         EspSeg          MUJER      CC         1032184    1         
54    300569          ISABEL          RIOS            SOTO            EspLog          MUJER      HG         1027619    1         
55    300575          PAULA           GARZA           CORDERO         IngElec         MUJER      CL         1015433    1         
56    300584          ISRAEL          ROJAS           REYES           TrabSoc         HOMBRE     DF         1013366    1         
57    300619          EMILIO          SALAZAR         SOTO            Abogado         HOMBRE     NE         1024534    1         
58    300620          MARiA           SOSA            SUAREZ          AnMktDg         MUJER      SP         1000276    1         
59    300639          DANIEL          ESTRELLA        CONTRERAS       Contado         HOMBRE     OC         1003652    1         
60    300650          MANUEL          ESPINOSA        LEON            AnlDatos        HOMBRE     NL         1007805    1         
61    300657          CONSUELO        OSORIO          QUINTERO        AnlDatos        MUJER      GT         1015511    1         
62    300670          SONIA           GUERRERO        CERVANTES       Enferm          MUJER      HG         1023861    1         
63    300677          SOFIA           CAMACHO         VARELA          RepVInt         MUJER      TC         1029304    1         
64    300680          ANA             ROMAN           VALDES          TrabSoc         MUJER      TS         1028641    1         
